fips,county,state_ab
6081,SAN MATEO,CA
6083,SANTA BARBARA,CA
6085,SANTA CLARA,CA
6087,SANTA CRUZ,CA
6089,SHASTA,CA
6091,SIERRA,CA
6093,SISKIYOU,CA
6095,SOLANO,CA
6097,SONOMA,CA
6099,STANISLAUS,CA
6101,SUTTER,CA
6103,TEHAMA,CA
6105,TRINITY,CA
6107,TULARE,CA
6109,TUOLUMNE,CA
6111,VENTURA,CA
6113,YOLO,CA
6115,YUBA,CA
8000,COLORADO,
8001,ADAMS,CO
8003,ALAMOSA,CO
8005,ARAPAHOE,CO
8007,ARCHULETA,CO
8009,BACA,CO
8011,BENT,CO
8013,BOULDER,CO
8014,BROOMFIELD,CO
8015,CHAFFEE,CO
8017,CHEYENNE,CO
8019,CLEAR CREEK,CO
8021,CONEJOS,CO
8023,COSTILLA,CO
8025,CROWLEY,CO
8027,CUSTER,CO
8029,DELTA,CO
8031,DENVER,CO
8033,DOLORES,CO
8035,DOUGLAS,CO
8037,EAGLE,CO
8039,ELBERT,CO
8041,EL PASO,CO
8043,FREMONT,CO
8045,GARFIELD,CO
8047,GILPIN,CO
8049,GRAND,CO
8051,GUNNISON,CO
8053,HINSDALE,CO
8055,HUERFANO,CO
8057,JACKSON,CO
8059,JEFFERSON,CO
8061,KIOWA,CO
8063,KIT CARSON,CO
8065,LAKE,CO
8067,LA PLATA,CO
8069,LARIMER,CO
8071,LAS ANIMAS,CO
8073,LINCOLN,CO
8075,LOGAN,CO
8077,MESA,CO
8079,MINERAL,CO
8081,MOFFAT,CO
8083,MONTEZUMA,CO
8085,MONTROSE,CO
8087,MORGAN,CO
8089,OTERO,CO
8091,OURAY,CO
8093,PARK,CO
8095,PHILLIPS,CO
8097,PITKIN,CO
8099,PROWERS,CO
8101,PUEBLO,CO
8103,RIO BLANCO,CO
8105,RIO GRANDE,CO
8107,ROUTT,CO
8109,SAGUACHE,CO
8111,SAN JUAN,CO
8113,SAN MIGUEL,CO
8115,SEDGWICK,CO
8117,SUMMIT,CO
8119,TELLER,CO
8121,WASHINGTON,CO
8123,WELD,CO
8125,YUMA,CO
9000,CONNECTICUT,
9001,FAIRFIELD,CT
9003,HARTFORD,CT
9005,LITCHFIELD,CT
9007,MIDDLESEX,CT
9009,NEW HAVEN,CT
9011,NEW LONDON,CT
9013,TOLLAND,CT
9015,WINDHAM,CT
10000,DELAWARE,
10001,KENT,DE
10003,NEW CASTLE,DE
10005,SUSSEX,DE
11000,DISTRICT OF COLUMBIA,
11001,DISTRICT OF COLUMBIA,DC
12000,FLORIDA,
12001,ALACHUA,FL
12003,BAKER,FL
12005,BAY,FL
12007,BRADFORD,FL
12009,BREVARD,FL
12011,BROWARD,FL
12013,CALHOUN,FL
12015,CHARLOTTE,FL
12017,CITRUS,FL
12019,CLAY,FL
12021,COLLIER,FL
12023,COLUMBIA,FL
12027,DESOTO,FL
12029,DIXIE,FL
12031,DUVAL,FL
12033,ESCAMBIA,FL
12035,FLAGLER,FL
12037,FRANKLIN,FL
12039,GADSDEN,FL
12041,GILCHRIST,FL
12043,GLADES,FL
12045,GULF,FL
12047,HAMILTON,FL
12049,HARDEE,FL
12051,HENDRY,FL
12053,HERNANDO,FL
12055,HIGHLANDS,FL
12057,HILLSBOROUGH,FL
12059,HOLMES,FL
12061,INDIAN RIVER,FL
12063,JACKSON,FL
12065,JEFFERSON,FL
12067,LAFAYETTE,FL
12069,LAKE,FL
12071,LEE,FL
12073,LEON,FL
12075,LEVY,FL
12077,LIBERTY,FL
12079,MADISON,FL
12081,MANATEE,FL
12083,MARION,FL
12085,MARTIN,FL
12086,MIAMI-DADE,FL
12087,MONROE,FL
12089,NASSAU,FL
12091,OKALOOSA,FL
12093,OKEECHOBEE,FL
12095,ORANGE,FL
12097,OSCEOLA,FL
12099,PALM BEACH,FL
12101,PASCO,FL
12103,PINELLAS,FL
12105,POLK,FL
12107,PUTNAM,FL
12109,ST. JOHNS,FL
12111,ST. LUCIE,FL
12113,SANTA ROSA,FL
12115,SARASOTA,FL
12117,SEMINOLE,FL
12119,SUMTER,FL
12121,SUWANNEE,FL
12123,TAYLOR,FL
12125,UNION,FL
12127,VOLUSIA,FL
12129,WAKULLA,FL
12131,WALTON,FL
12133,WASHINGTON,FL
13000,GEORGIA,
13001,APPLING,GA
13003,ATKINSON,GA
13005,BACON,GA
13007,BAKER,GA
13009,BALDWIN,GA
13011,BANKS,GA
13013,BARROW,GA
13015,BARTOW,GA
13017,BEN HILL,GA
13019,BERRIEN,GA
13021,BIBB,GA
13023,BLECKLEY,GA
13025,BRANTLEY,GA
13027,BROOKS,GA
13029,BRYAN,GA
13031,BULLOCH,GA
13033,BURKE,GA
13035,BUTTS,GA
13037,CALHOUN,GA
13039,CAMDEN,GA
13043,CANDLER,GA
13045,CARROLL,GA
13047,CATOOSA,GA
13049,CHARLTON,GA
13051,CHATHAM,GA
13053,CHATTAHOOCHEE,GA
13055,CHATTOOGA,GA
13057,CHEROKEE,GA
13059,CLARKE,GA
13061,CLAY,GA
13063,CLAYTON,GA
13065,CLINCH,GA
13067,COBB,GA
13069,COFFEE,GA
13071,COLQUITT,GA
13073,COLUMBIA,GA
13075,COOK,GA
13077,COWETA,GA
13079,CRAWFORD,GA
13081,CRISP,GA
13083,DADE,GA
13085,DAWSON,GA
13087,DECATUR,GA
13089,DEKALB,GA
13091,DODGE,GA
13093,DOOLY,GA
13095,DOUGHERTY,GA
13097,DOUGLAS,GA
13099,EARLY,GA
13101,ECHOLS,GA
13103,EFFINGHAM,GA
13105,ELBERT,GA
13107,EMANUEL,GA
13109,EVANS,GA
13111,FANNIN,GA
13113,FAYETTE,GA
13115,FLOYD,GA
13117,FORSYTH,GA
13119,FRANKLIN,GA
13121,FULTON,GA
13123,GILMER,GA
13125,GLASCOCK,GA
13127,GLYNN,GA
13129,GORDON,GA
13131,GRADY,GA
13133,GREENE,GA
13135,GWINNETT,GA
13137,HABERSHAM,GA
13139,HALL,GA
13141,HANCOCK,GA
13143,HARALSON,GA
13145,HARRIS,GA
13147,HART,GA
13149,HEARD,GA
13151,HENRY,GA
13153,HOUSTON,GA
13155,IRWIN,GA
13157,JACKSON,GA
13159,JASPER,GA
13161,JEFF DAVIS,GA
13163,JEFFERSON,GA
13165,JENKINS,GA
13167,JOHNSON,GA
13169,JONES,GA
13171,LAMAR,GA
13173,LANIER,GA
13175,LAURENS,GA
13177,LEE,GA
13179,LIBERTY,GA
13181,LINCOLN,GA
13183,LONG,GA
13185,LOWNDES,GA
13187,LUMPKIN,GA
13189,MCDUFFIE,GA
13191,MCINTOSH,GA
13193,MACON,GA
13195,MADISON,GA
13197,MARION,GA
13199,MERIWETHER,GA
13201,MILLER,GA
13205,MITCHELL,GA
13207,MONROE,GA
13209,MONTGOMERY,GA
13211,MORGAN,GA
13213,MURRAY,GA
13215,MUSCOGEE,GA
13217,NEWTON,GA
13219,OCONEE,GA
13221,OGLETHORPE,GA
13223,PAULDING,GA
13225,PEACH,GA
13227,PICKENS,GA
13229,PIERCE,GA
13231,PIKE,GA
13233,POLK,GA
13235,PULASKI,GA
13237,PUTNAM,GA
13239,QUITMAN,GA
13241,RABUN,GA
13243,RANDOLPH,GA
13245,RICHMOND,GA
13247,ROCKDALE,GA
13249,SCHLEY,GA
13251,SCREVEN,GA
13253,SEMINOLE,GA
13255,SPALDING,GA
13257,STEPHENS,GA
13259,STEWART,GA
13261,SUMTER,GA
13263,TALBOT,GA
13265,TALIAFERRO,GA
13267,TATTNALL,GA
13269,TAYLOR,GA
13271,TELFAIR,GA
13273,TERRELL,GA
13275,THOMAS,GA
13277,TIFT,GA
13279,TOOMBS,GA
13281,TOWNS,GA
13283,TREUTLEN,GA
13285,TROUP,GA
13287,TURNER,GA
13289,TWIGGS,GA
13291,UNION,GA
13293,UPSON,GA
13295,WALKER,GA
13297,WALTON,GA
13299,WARE,GA
13301,WARREN,GA
13303,WASHINGTON,GA
13305,WAYNE,GA
13307,WEBSTER,GA
13309,WHEELER,GA
13311,WHITE,GA
13313,WHITFIELD,GA
13315,WILCOX,GA
13317,WILKES,GA
13319,WILKINSON,GA
13321,WORTH,GA
15000,HAWAII,
15001,HAWAII,HI
15003,HONOLULU,HI
15005,KALAWAO,HI
15007,KAUAI,HI
15009,MAUI,HI
16000,IDAHO,
16001,ADA,ID
16003,ADAMS,ID
16005,BANNOCK,ID
16007,BEAR LAKE,ID
16009,BENEWAH,ID
16011,BINGHAM,ID
16013,BLAINE,ID
16015,BOISE,ID
16017,BONNER,ID
16019,BONNEVILLE,ID
16021,BOUNDARY,ID
16023,BUTTE,ID
16025,CAMAS,ID
16027,CANYON,ID
16029,CARIBOU,ID
16031,CASSIA,ID
16033,CLARK,ID
16035,CLEARWATER,ID
16037,CUSTER,ID
16039,ELMORE,ID
16041,FRANKLIN,ID
16043,FREMONT,ID
16045,GEM,ID
16047,GOODING,ID
16049,IDAHO,ID
16051,JEFFERSON,ID
16053,JEROME,ID
16055,KOOTENAI,ID
16057,LATAH,ID
16059,LEMHI,ID
16061,LEWIS,ID
16063,LINCOLN,ID
16065,MADISON,ID
16067,MINIDOKA,ID
16069,NEZ PERCE,ID
16071,ONEIDA,ID
16073,OWYHEE,ID
16075,PAYETTE,ID
16077,POWER,ID
16079,SHOSHONE,ID
16081,TETON,ID
16083,TWIN FALLS,ID
16085,VALLEY,ID
16087,WASHINGTON,ID
17000,ILLINOIS,
17001,ADAMS,IL
17003,ALEXANDER,IL
17005,BOND,IL
17007,BOONE,IL
17009,BROWN,IL
17011,BUREAU,IL
17013,CALHOUN,IL
17015,CARROLL,IL
17017,CASS,IL
17019,CHAMPAIGN,IL
17021,CHRISTIAN,IL
17023,CLARK,IL
17025,CLAY,IL
17027,CLINTON,IL
17029,COLES,IL
17031,COOK,IL
17033,CRAWFORD,IL
17035,CUMBERLAND,IL
17037,DEKALB,IL
17039,DE WITT,IL
17041,DOUGLAS,IL
17043,DUPAGE,IL
17045,EDGAR,IL
17047,EDWARDS,IL
17049,EFFINGHAM,IL
17051,FAYETTE,IL
17053,FORD,IL
17055,FRANKLIN,IL
17057,FULTON,IL
17059,GALLATIN,IL
17061,GREENE,IL
17063,GRUNDY,IL
17065,HAMILTON,IL
17067,HANCOCK,IL
17069,HARDIN,IL
17071,HENDERSON,IL
17073,HENRY,IL
17075,IROQUOIS,IL
17077,JACKSON,IL
17079,JASPER,IL
17081,JEFFERSON,IL
17083,JERSEY,IL
17085,JO DAVIESS,IL
17087,JOHNSON,IL
17089,KANE,IL
17091,KANKAKEE,IL
17093,KENDALL,IL
17095,KNOX,IL
17097,LAKE,IL
17099,LASALLE,IL
17101,LAWRENCE,IL
17103,LEE,IL
17105,LIVINGSTON,IL
17107,LOGAN,IL
17109,MCDONOUGH,IL
17111,MCHENRY,IL
17113,MCLEAN,IL
17115,MACON,IL
17117,MACOUPIN,IL
17119,MADISON,IL
17121,MARION,IL
17123,MARSHALL,IL
17125,MASON,IL
17127,MASSAC,IL
17129,MENARD,IL
17131,MERCER,IL
17133,MONROE,IL
17135,MONTGOMERY,IL
17137,MORGAN,IL
17139,MOULTRIE,IL
17141,OGLE,IL
17143,PEORIA,IL
17145,PERRY,IL
17147,PIATT,IL
17149,PIKE,IL
17151,POPE,IL
17153,PULASKI,IL
17155,PUTNAM,IL
17157,RANDOLPH,IL
17159,RICHLAND,IL
17161,ROCK ISLAND,IL
17163,ST. CLAIR,IL
17165,SALINE,IL
17167,SANGAMON,IL
17169,SCHUYLER,IL
17171,SCOTT,IL
17173,SHELBY,IL
17175,STARK,IL
17177,STEPHENSON,IL
17179,TAZEWELL,IL
17181,UNION,IL
17183,VERMILION,IL
17185,WABASH,IL
17187,WARREN,IL
17189,WASHINGTON,IL
17191,WAYNE,IL
17193,WHITE,IL
17195,WHITESIDE,IL
17197,WILL,IL
17199,WILLIAMSON,IL
17201,WINNEBAGO,IL
17203,WOODFORD,IL
18000,INDIANA,
18001,ADAMS,IN
18003,ALLEN,IN
18005,BARTHOLOMEW,IN
18007,BENTON,IN
18009,BLACKFORD,IN
18011,BOONE,IN
18013,BROWN,IN
18015,CARROLL,IN
18017,CASS,IN
18019,CLARK,IN
18021,CLAY,IN
18023,CLINTON,IN
18025,CRAWFORD,IN
18027,DAVIESS,IN
18029,DEARBORN,IN
18031,DECATUR,IN
18033,DEKALB,IN
18035,DELAWARE,IN
18037,DUBOIS,IN
18039,ELKHART,IN
18041,FAYETTE,IN
18043,FLOYD,IN
18045,FOUNTAIN,IN
18047,FRANKLIN,IN
18049,FULTON,IN
18051,GIBSON,IN
18053,GRANT,IN
18055,GREENE,IN
18057,HAMILTON,IN
18059,HANCOCK,IN
18061,HARRISON,IN
18063,HENDRICKS,IN
18065,HENRY,IN
18067,HOWARD,IN
18069,HUNTINGTON,IN
18071,JACKSON,IN
18073,JASPER,IN
18075,JAY,IN
18077,JEFFERSON,IN
18079,JENNINGS,IN
18081,JOHNSON,IN
18083,KNOX,IN
18085,KOSCIUSKO,IN
18087,LAGRANGE,IN
18089,LAKE,IN
18091,LAPORTE,IN
18093,LAWRENCE,IN
18095,MADISON,IN
18097,MARION,IN
18099,MARSHALL,IN
18101,MARTIN,IN
18103,MIAMI,IN
18105,MONROE,IN
18107,MONTGOMERY,IN
18109,MORGAN,IN
18111,NEWTON,IN
18113,NOBLE,IN
18115,OHIO,IN
18117,ORANGE,IN
18119,OWEN,IN
18121,PARKE,IN
18123,PERRY,IN
18125,PIKE,IN
18127,PORTER,IN
18129,POSEY,IN
18131,PULASKI,IN
18133,PUTNAM,IN
18135,RANDOLPH,IN
18137,RIPLEY,IN
18139,RUSH,IN
18141,ST. JOSEPH,IN
18143,SCOTT,IN
18145,SHELBY,IN
18147,SPENCER,IN
18149,STARKE,IN
18151,STEUBEN,IN
18153,SULLIVAN,IN
18155,SWITZERLAND,IN
18157,TIPPECANOE,IN
18159,TIPTON,IN
18161,UNION,IN
18163,VANDERBURGH,IN
18165,VERMILLION,IN
18167,VIGO,IN
18169,WABASH,IN
18171,WARREN,IN
18173,WARRICK,IN
18175,WASHINGTON,IN
18177,WAYNE,IN
18179,WELLS,IN
18181,WHITE,IN
18183,WHITLEY,IN
19000,IOWA,
19001,ADAIR,IA
19003,ADAMS,IA
19005,ALLAMAKEE,IA
19007,APPANOOSE,IA
19009,AUDUBON,IA
19011,BENTON,IA
19013,BLACK HAWK,IA
19015,BOONE,IA
19017,BREMER,IA
19019,BUCHANAN,IA
19021,BUENA VISTA,IA
19023,BUTLER,IA
19025,CALHOUN,IA
19027,CARROLL,IA
19029,CASS,IA
19031,CEDAR,IA
19033,CERRO GORDO,IA
19035,CHEROKEE,IA
19037,CHICKASAW,IA
19039,CLARKE,IA
19041,CLAY,IA
19043,CLAYTON,IA
19045,CLINTON,IA
19047,CRAWFORD,IA
19049,DALLAS,IA
19051,DAVIS,IA
19053,DECATUR,IA
19055,DELAWARE,IA
19057,DES MOINES,IA
19059,DICKINSON,IA
19061,DUBUQUE,IA
19063,EMMET,IA
19065,FAYETTE,IA
19067,FLOYD,IA
19069,FRANKLIN,IA
19071,FREMONT,IA
19073,GREENE,IA
19075,GRUNDY,IA
19077,GUTHRIE,IA
19079,HAMILTON,IA
19081,HANCOCK,IA
19083,HARDIN,IA
19085,HARRISON,IA
19087,HENRY,IA
19089,HOWARD,IA
19091,HUMBOLDT,IA
19093,IDA,IA
19095,IOWA,IA
19097,JACKSON,IA
19099,JASPER,IA
19101,JEFFERSON,IA
19103,JOHNSON,IA
19105,JONES,IA
19107,KEOKUK,IA
19109,KOSSUTH,IA
19111,LEE,IA
19113,LINN,IA
19115,LOUISA,IA
19117,LUCAS,IA
19119,LYON,IA
19121,MADISON,IA
19123,MAHASKA,IA
19125,MARION,IA
19127,MARSHALL,IA
19129,MILLS,IA
19131,MITCHELL,IA
19133,MONONA,IA
19135,MONROE,IA
19137,MONTGOMERY,IA
19139,MUSCATINE,IA
19141,O'BRIEN,IA
19143,OSCEOLA,IA
19145,PAGE,IA
19147,PALO ALTO,IA
19149,PLYMOUTH,IA
19151,POCAHONTAS,IA
19153,POLK,IA
19155,POTTAWATTAMIE,IA
19157,POWESHIEK,IA
19159,RINGGOLD,IA
19161,SAC,IA
19163,SCOTT,IA
19165,SHELBY,IA
19167,SIOUX,IA
19169,STORY,IA
19171,TAMA,IA
19173,TAYLOR,IA
19175,UNION,IA
19177,VAN BUREN,IA
19179,WAPELLO,IA
19181,WARREN,IA
19183,WASHINGTON,IA
19185,WAYNE,IA
19187,WEBSTER,IA
19189,WINNEBAGO,IA
19191,WINNESHIEK,IA
19193,WOODBURY,IA
19195,WORTH,IA
19197,WRIGHT,IA
20000,KANSAS,
20001,ALLEN,KS
20003,ANDERSON,KS
20005,ATCHISON,KS
20007,BARBER,KS
20009,BARTON,KS
20011,BOURBON,KS
20013,BROWN,KS
20015,BUTLER,KS
20017,CHASE,KS
20019,CHAUTAUQUA,KS
20021,CHEROKEE,KS
20023,CHEYENNE,KS
20025,CLARK,KS
20027,CLAY,KS
20029,CLOUD,KS
20031,COFFEY,KS
20033,COMANCHE,KS
20035,COWLEY,KS
20037,CRAWFORD,KS
20039,DECATUR,KS
20041,DICKINSON,KS
20043,DONIPHAN,KS
20045,DOUGLAS,KS
20047,EDWARDS,KS
20049,ELK,KS
20051,ELLIS,KS
20053,ELLSWORTH,KS
20055,FINNEY,KS
20057,FORD,KS
20059,FRANKLIN,KS
20061,GEARY,KS
20063,GOVE,KS
20065,GRAHAM,KS
20067,GRANT,KS
20069,GRAY,KS
20071,GREELEY,KS
20073,GREENWOOD,KS
20075,HAMILTON,KS
20077,HARPER,KS
20079,HARVEY,KS
20081,HASKELL,KS
20083,HODGEMAN,KS
20085,JACKSON,KS
20087,JEFFERSON,KS
20089,JEWELL,KS
20091,JOHNSON,KS
20093,KEARNY,KS
20095,KINGMAN,KS
20097,KIOWA,KS
20099,LABETTE,KS
20101,LANE,KS
20103,LEAVENWORTH,KS
20105,LINCOLN,KS
20107,LINN,KS
20109,LOGAN,KS
20111,LYON,KS
20113,MCPHERSON,KS
20115,MARION,KS
20117,MARSHALL,KS
20119,MEADE,KS
20121,MIAMI,KS
20123,MITCHELL,KS
20125,MONTGOMERY,KS
20127,MORRIS,KS
20129,MORTON,KS
20131,NEMAHA,KS
20133,NEOSHO,KS
20135,NESS,KS
20137,NORTON,KS
20139,OSAGE,KS
20141,OSBORNE,KS
20143,OTTAWA,KS
20145,PAWNEE,KS
20147,PHILLIPS,KS
20149,POTTAWATOMIE,KS
20151,PRATT,KS
20153,RAWLINS,KS
20155,RENO,KS
20157,REPUBLIC,KS
20159,RICE,KS
20161,RILEY,KS
20163,ROOKS,KS
20165,RUSH,KS
20167,RUSSELL,KS
20169,SALINE,KS
20171,SCOTT,KS
20173,SEDGWICK,KS
20175,SEWARD,KS
20177,SHAWNEE,KS
20179,SHERIDAN,KS
20181,SHERMAN,KS
20183,SMITH,KS
20185,STAFFORD,KS
20187,STANTON,KS
20189,STEVENS,KS
20191,SUMNER,KS
20193,THOMAS,KS
20195,TREGO,KS
20197,WABAUNSEE,KS
20199,WALLACE,KS
20201,WASHINGTON,KS
20203,WICHITA,KS
20205,WILSON,KS
20207,WOODSON,KS
20209,WYANDOTTE,KS
21000,KENTUCKY,
21001,ADAIR,KY
21003,ALLEN,KY
21005,ANDERSON,KY
21007,BALLARD,KY
21009,BARREN,KY
21011,BATH,KY
21013,BELL,KY
21015,BOONE,KY
21017,BOURBON,KY
21019,BOYD,KY
21021,BOYLE,KY
21023,BRACKEN,KY
21025,BREATHITT,KY
21027,BRECKINRIDGE,KY
21029,BULLITT,KY
21031,BUTLER,KY
21033,CALDWELL,KY
21035,CALLOWAY,KY
21037,CAMPBELL,KY
21039,CARLISLE,KY
21041,CARROLL,KY
21043,CARTER,KY
21045,CASEY,KY
21047,CHRISTIAN,KY
21049,CLARK,KY
21051,CLAY,KY
21053,CLINTON,KY
21055,CRITTENDEN,KY
21057,CUMBERLAND,KY
21059,DAVIESS,KY
21061,EDMONSON,KY
21063,ELLIOTT,KY
21065,ESTILL,KY
21067,FAYETTE,KY
21069,FLEMING,KY
21071,FLOYD,KY
21073,FRANKLIN,KY
21075,FULTON,KY
21077,GALLATIN,KY
21079,GARRARD,KY
21081,GRANT,KY
21083,GRAVES,KY
21085,GRAYSON,KY
21087,GREEN,KY
21089,GREENUP,KY
21091,HANCOCK,KY
21093,HARDIN,KY
21095,HARLAN,KY
21097,HARRISON,KY
21099,HART,KY
21101,HENDERSON,KY
21103,HENRY,KY
21105,HICKMAN,KY
21107,HOPKINS,KY
21109,JACKSON,KY
21111,JEFFERSON,KY
21113,JESSAMINE,KY
21115,JOHNSON,KY
21117,KENTON,KY
21119,KNOTT,KY
21121,KNOX,KY
21123,LARUE,KY
21125,LAUREL,KY
21127,LAWRENCE,KY
21129,LEE,KY
21131,LESLIE,KY
21133,LETCHER,KY
21135,LEWIS,KY
21137,LINCOLN,KY
21139,LIVINGSTON,KY
21141,LOGAN,KY
21143,LYON,KY
21145,MCCRACKEN,KY
21147,MCCREARY,KY
21149,MCLEAN,KY
21151,MADISON,KY
21153,MAGOFFIN,KY
21155,MARION,KY
21157,MARSHALL,KY
21159,MARTIN,KY
